,Rank, University, Size, M10, G10, P10, C40, C60, C80, USN, Scholar, ID,University,ID,school
130,131, University of North Carolina - Charlotte  ,20,38.5,29.026390000000003,0.272485,3,0,0,2.1,1.8882259999999997,139,University of North Carolina - Charlotte,139,University of North Carolina - Charlotte 
131,132, University of Nevada - Reno  ,18,21.0,29.14125,0.239673,2,1,0,0.0,1.883046,135,University of Nevada - Reno,135,University of Nevada - Reno 
132,133, Oakland University  ,14,30.0,28.454929999999997,0.250175,1,1,0,0.0,1.88132,61,Oakland University,61,Oakland University 
133,134, New Mexico State University  ,13,55.5,30.65738,0.276502,1,0,0,0.0,1.881113,53,New Mexico State University,53,New Mexico State University
134,135, University of Texas - El Paso  ,15,25.0,24.529239999999998,0.234767,2,1,0,0.0,1.881014,155,University of Texas - El Paso,155,University of Texas - El Paso 
135,136, Claremont Graduate University  ,6,38.0,44.7642,0.307958,1,0,0,0.0,1.8744740000000002,13,Claremont Graduate University,13,Claremont Graduate University 
136,137, University of Colorado - Colorado Springs  ,12,21.0,27.135270000000002,0.235961,2,1,0,0.0,1.871877,104,University of Colorado - Colorado Springs,104,Univ. of Colorado Colorado Springs
137,138, University of Louisiana - Lafayette  ,22,15.0,22.71069,0.24869899999999998,3,1,1,0.0,1.84276,119,University of Louisiana - Lafayette,119,University of Louisiana - Lafayette 
138,139, University of Cincinnati  ,20,28.0,23.55325,0.22916399999999998,1,1,1,2.0,1.842098,102,University of Cincinnati,102,University of Cincinnati 
139,140, University of Denver,8,47.0,28.592229999999997,0.28125300000000003,1,0,0,0.0,1.835341,108,University of Denver,108,University of Denver
140,141, University of North Texas  ,27,37.0,26.10311,0.242856,2,0,0,0.0,1.826314,140,University of North Texas,140,University of North Texas
141,142, Oregon Health and Science University  ,8,34.5,37.30786,0.256231,1,0,0,2.2,1.8231509999999997,65,Oregon Health and Science University,65,Oregon Health and Science University 
142,143, University of Louisville  ,15,21.0,13.744860000000001,0.210524,3,1,0,0.0,1.8215430000000001,120,University of Louisville,120,University of Louisville 
143,144, Utah State University  ,14,30.0,24.09981,0.24450100000000002,3,0,0,0.0,1.817639,164,Utah State University,164,Utah State University 
144,145, University of Wisconsin - Milwaukee  ,12,36.0,32.25397,0.23595300000000002,1,0,0,0.0,1.805177,162,University of Wisconsin - Milwaukee,162,University of Wisconsin - Milwaukee 
145,146, Texas Tech University  ,17,13.5,19.657429999999998,0.198198,1,1,0,0.0,1.723237,81,Texas Tech University,81,Texas Tech University 
146,147, Florida Institute of Technology  ,20,17.0,12.78533,0.173932,1,1,1,0.0,1.6986740000000002,25,Florida Institute of Technology,25,Florida Institute of Technology 
147,148, University of Arkansas - Little Rock  ,8,13.5,15.83005,0.15296500000000002,1,1,0,0.0,1.696366,91,University of Arkansas - Little Rock,91,University of Arkansas - Little Rock 
148,149, University of Alabama - Huntsville  ,16,23.5,23.78426,0.20018,1,0,0,0.0,1.690753,88,University of Alabama - Huntsville,88,University of Alabama - Huntsville 
149,150, Kent State University  ,19,11.0,11.43368,0.190104,2,1,0,0.0,1.690278,39,Kent State University,39,Kent State University 
150,151, University of New Orleans  ,11,25.5,19.64694,0.20956,1,0,0,0.0,1.6762599999999999,137,University of New Orleans,137,University of New Orleans 
151,152, Auburn University  ,17,22.0,21.28528,0.195149,1,0,0,2.2,1.666052,3,Auburn University,3,Auburn University
152,153, University of Wyoming  ,6,20.0,18.8511,0.125225,1,0,0,0.0,1.6373,163,University of Wyoming,163,University of Wyoming 
153,154, University of Missouri - Kansas City  ,19,21.5,17.01931,0.170646,1,0,0,0.0,1.634102,132,University of Missouri - Kansas City,132,University of Missouri - Kansas City 
154,155, Montana State University  ,9,30.0,27.93223,0.182332,0,0,0,0.0,1.630785,49,Montana State University,49,Montana State University 
155,156, Mississippi State University  ,17,18.0,18.71574,0.184184,1,0,0,0.0,1.623027,47,Mississippi State University,47,Mississippi State University 
156,157, Southern Methodist University  ,12,15.5,11.51435,0.184535,2,0,0,2.0,1.600143,74,Southern Methodist University,74,Southern Methodist University 
157,158, University of Mississippi  ,8,18.0,11.20285,0.18773800000000002,1,0,0,0.0,1.565199,130,University of Mississippi,130,University of Mississippi 
158,159, Western Michigan University  ,13,18.5,10.59581,0.14512,1,0,0,0.0,1.563173,173,Western Michigan University,173,Western Michigan University 
159,160, University of Southern Mississippi  ,13,7.0,10.167119999999999,0.15045,2,0,0,0.0,1.512936,150,University of Southern Mississippi,150,University of Southern Mississippi 
160,161, Air Force Institute of Technology  ,12,18.5,19.33908,0.11929400000000001,0,0,0,0.0,1.509952,1,Air Force Institute of Technology,1,Air Force Institute of Technology 
161,162, Towson University  ,28,9.5,11.89982,0.128111,1,0,0,0.0,1.5037479999999999,82,Towson University,82,Towson University 
