rank,uni,measured,predicted,combined
437,University of Western Australia,1452,395,983
438,École Centrale Paris,2025,181,981
439,University of Waikato,2747,88,979
440,Toyota,2127,155,969
441,Hanyang University,1425,393,968
442,German Research Centre for Artificial Intelligence,1736,241,960
443,Pacific Northwest National Laboratory,1576,301,959
444,AT&T,2946,69,955
445,Florida Atlantic University,2283,123,950
446,University of Antwerp,2036,155,940
447,Kyushu University,1338,406,936
448,Charles University in Prague,1428,342,930
449,Macquarie University,1592,264,929
450,City University London,1687,226,923
451,University of Hasselt,1605,252,921
452,Renmin University of China,1311,402,920
453,Indian Institute of Technology Kharagpur,1216,477,918
454,Université libre de Bruxelles,1492,295,917
455,University of Electro-Communications,1587,255,917
456,NXP Semiconductors,2091,134,917
457,Technical University of Madrid,1427,318,910
458,National Institute of Information and Communications Technology,1658,223,908
459,University of Modena and Reggio Emilia,1634,228,905
460,Garvan Institute of Medical Research,4508,21,901
461,University of Lisbon,1395,314,892
462,Hungarian Academy of Sciences,1499,266,892
463,Nagoya University,1418,298,888
464,University of Leeds,1739,182,884
465,Indian Institute of Technology Kanpur,1488,261,883
466,University of Grenoble,1616,215,882
467,University of Massachusetts Lowell,1412,293,881
468,Auburn University,1549,234,879
469,Science College,1628,209,879
470,Jet Propulsion Laboratory,1726,180,876
471,Nankai University,1630,206,876
472,University of Naples Federico II,1463,261,872
473,University of London,1741,173,871
474,University of Cyprus,1585,211,866
475,Fujitsu,1674,185,865
476,Curtin University,2465,74,861
477,Shandong University,1192,398,858
478,Michigan Technological University,1520,226,858
479,Indiana University,1416,260,852
480,Beijing University of Posts and Telecommunications,1043,528,850
481,University of Miami,1865,135,848
482,Laval University,1651,178,846
483,University of Ljubljana,1374,273,846
484,Missouri University of Science and Technology,1289,313,843
485,Association for Computing Machinery,1172,389,842
486,University of Hamburg,1392,254,836
487,Sant'Anna School of Advanced Studies,1681,161,832
488,University of Cape Town,2052,101,831
489,University of Paris-Sud,1501,209,831
490,STMicroelectronics,1784,139,830
491,Indian Institute of Technology Madras,1023,509,830
492,Budapest University of Technology and Economics,1482,215,830
493,Bielefeld University,1594,180,829
494,Complutense University of Madrid,1700,155,829
495,"Royal Holloway, University of London",1251,315,827
496,University of Strathclyde,1745,142,822
497,Electronics and Telecommunications Research Institute,1735,142,819
498,Center for Information Technology,1192,338,817
499,University of Duisburg-Essen,1558,179,814
500,Beijing Jiaotong University,1422,220,812
